DATAFLOW,LAST UPDATE,freq,crops,animal,farmtype,so_eur,unit,agrarea,country,geo,TIME_PERIOD,OBS_VALUE
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Cattle,FT46_SO,TOTAL,HA,TOTAL,Austria,AT,2020,400410
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Cattle,FT46_SO,TOTAL,HA,TOTAL,Belgium,BE,2020,204970
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Cattle,FT46_SO,TOTAL,HA,TOTAL,Bulgaria,BG,2020,220700
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Cattle,FT46_SO,TOTAL,HA,TOTAL,Cyprus,CY,2020,210
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Cattle,FT46_SO,TOTAL,HA,TOTAL,Czechia,CZ,2020,471980
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Cattle,FT46_SO,TOTAL,HA,TOTAL,Germany,DE,2020,1271180
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Cattle,FT46_SO,TOTAL,HA,TOTAL,Denmark,DK,2020,110060
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Cattle,FT46_SO,TOTAL,HA,TOTAL,Estonia,EE,2020,99600
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Cattle,FT46_SO,TOTAL,HA,TOTAL,Greece,GR,2020,58050
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Cattle,FT46_SO,TOTAL,HA,TOTAL,Spain,ES,2020,3592800
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Cattle,FT46_SO,TOTAL,HA,TOTAL,Finland,FI,2020,227860
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Cattle,FT46_SO,TOTAL,HA,TOTAL,France,FR,2020,4358070
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Cattle,FT46_SO,TOTAL,HA,TOTAL,Croatia,HR,2020,81570
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Cattle,FT46_SO,TOTAL,HA,TOTAL,Hungary,HU,2020,143250
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Cattle,FT46_SO,TOTAL,HA,TOTAL,Ireland,IE,2020,1999910
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Cattle,FT46_SO,TOTAL,HA,TOTAL,Italy,IT,2020,827700
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Cattle,FT46_SO,TOTAL,HA,TOTAL,Lithuania,LT,2020,73630
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Cattle,FT46_SO,TOTAL,HA,TOTAL,Luxembourg,LU,2020,27910
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Cattle,FT46_SO,TOTAL,HA,TOTAL,Latvia,LV,2020,137820
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Cattle,FT46_SO,TOTAL,HA,TOTAL,Malta,MT,2020,50
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Cattle,FT46_SO,TOTAL,HA,TOTAL,Netherlands,NL,2020,107770
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Cattle,FT46_SO,TOTAL,HA,TOTAL,Poland,PL,2020,448480
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Cattle,FT46_SO,TOTAL,HA,TOTAL,Portugal,PT,2020,950420
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Cattle,FT46_SO,TOTAL,HA,TOTAL,Romania,RO,2020,82530
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Cattle,FT46_SO,TOTAL,HA,TOTAL,Sweden,SE,2020,652980
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Cattle,FT46_SO,TOTAL,HA,TOTAL,Slovenia,SI,2020,122410
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Cattle,FT46_SO,TOTAL,HA,TOTAL,Slovakia,SK,2020,158520
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Sheep,FT48_SO,TOTAL,HA,TOTAL,Austria,AT,2020,89480
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Sheep,FT48_SO,TOTAL,HA,TOTAL,Belgium,BE,2020,18860
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Sheep,FT48_SO,TOTAL,HA,TOTAL,Bulgaria,BG,2020,289920
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Sheep,FT48_SO,TOTAL,HA,TOTAL,Cyprus,CY,2020,22410
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Sheep,FT48_SO,TOTAL,HA,TOTAL,Czechia,CZ,2020,48390
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Sheep,FT48_SO,TOTAL,HA,TOTAL,Germany,DE,2020,384450
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Sheep,FT48_SO,TOTAL,HA,TOTAL,Denmark,DK,2020,27920
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Sheep,FT48_SO,TOTAL,HA,TOTAL,Estonia,EE,2020,26140
