Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Country Code
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2111,Cattle,2006,2006,Head,128458,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2111,Cattle,2007,2007,Head,131519,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2111,Cattle,2008,2008,Head,128591,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2111,Cattle,2009,2009,Head,116313,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2111,Cattle,2010,2010,Head,126546,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2111,Cattle,2011,2011,Head,157136,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2111,Cattle,2012,2012,Head,140642,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2111,Cattle,2013,2013,Head,120064,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2111,Cattle,2014,2014,Head,133841,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2111,Cattle,2015,2015,Head,124529,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2111,Cattle,2016,2016,Head,118922,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2111,Cattle,2017,2017,Head,118717,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2111,Cattle,2018,2018,Head,101587,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2111,Cattle,2019,2019,Head,101605,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2111,Cattle,2020,2020,Head,92882,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2111,Cattle,2021,2021,Head,72677,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2111,Cattle,2006,2006,1000 US$,105990,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2111,Cattle,2007,2007,1000 US$,132875,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2111,Cattle,2008,2008,1000 US$,145483,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2111,Cattle,2009,2009,1000 US$,105478,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2111,Cattle,2010,2010,1000 US$,118007,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2111,Cattle,2011,2011,1000 US$,202839,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2111,Cattle,2012,2012,1000 US$,173464,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2111,Cattle,2013,2013,1000 US$,127193,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2111,Cattle,2014,2014,1000 US$,129424,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2111,Cattle,2015,2015,1000 US$,112061,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2111,Cattle,2016,2016,1000 US$,113268,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2111,Cattle,2017,2017,1000 US$,128671,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2111,Cattle,2018,2018,1000 US$,107676,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2111,Cattle,2019,2019,1000 US$,96837,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2111,Cattle,2020,2020,1000 US$,90387,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2111,Cattle,2021,2021,1000 US$,79178,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2122,Sheep,2006,2006,Head,24431,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2122,Sheep,2007,2007,Head,13305,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2122,Sheep,2008,2008,Head,9582,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2122,Sheep,2009,2009,Head,10661,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2122,Sheep,2010,2010,Head,13693,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2122,Sheep,2011,2011,Head,16389,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2122,Sheep,2012,2012,Head,16760,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2122,Sheep,2013,2013,Head,12408,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2122,Sheep,2014,2014,Head,15043,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2122,Sheep,2015,2015,Head,13049,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2122,Sheep,2016,2016,Head,12724,A,Official figure,AT
