Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Country Code
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2111,Cattle,2006,2006,Head,75498,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2111,Cattle,2007,2007,Head,75663,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2111,Cattle,2008,2008,Head,105059,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2111,Cattle,2009,2009,Head,122473,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2111,Cattle,2010,2010,Head,110868,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2111,Cattle,2011,2011,Head,102964,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2111,Cattle,2012,2012,Head,111950,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2111,Cattle,2013,2013,Head,122699,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2111,Cattle,2014,2014,Head,109606,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2111,Cattle,2015,2015,Head,122577,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2111,Cattle,2016,2016,Head,113537,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2111,Cattle,2017,2017,Head,108050,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2111,Cattle,2018,2018,Head,106179,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2111,Cattle,2019,2019,Head,101341,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2111,Cattle,2020,2020,Head,94274,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2111,Cattle,2021,2021,Head,96702,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2111,Cattle,2006,2006,1000 US$,80908,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2111,Cattle,2007,2007,1000 US$,86639,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2111,Cattle,2008,2008,1000 US$,137663,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2111,Cattle,2009,2009,1000 US$,145081,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2111,Cattle,2010,2010,1000 US$,127566,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2111,Cattle,2011,2011,1000 US$,144848,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2111,Cattle,2012,2012,1000 US$,160283,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2111,Cattle,2013,2013,1000 US$,174497,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2111,Cattle,2014,2014,1000 US$,146066,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2111,Cattle,2015,2015,1000 US$,141494,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2111,Cattle,2016,2016,1000 US$,123056,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2111,Cattle,2017,2017,1000 US$,128299,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2111,Cattle,2018,2018,1000 US$,138246,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2111,Cattle,2019,2019,1000 US$,117567,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2111,Cattle,2020,2020,1000 US$,110815,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2111,Cattle,2021,2021,1000 US$,128306,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2122,Sheep,2006,2006,Head,15652,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2122,Sheep,2007,2007,Head,14764,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2122,Sheep,2008,2008,Head,4808,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2122,Sheep,2009,2009,Head,7843,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2122,Sheep,2010,2010,Head,6008,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2122,Sheep,2011,2011,Head,2543,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2122,Sheep,2012,2012,Head,156,T,Unofficial figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2122,Sheep,2013,2013,Head,444,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2122,Sheep,2014,2014,Head,57,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2122,Sheep,2015,2015,Head,902,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2122,Sheep,2016,2016,Head,95,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2122,Sheep,2017,2017,Head,227,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2122,Sheep,2018,2018,Head,175,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2122,Sheep,2019,2019,Head,3662,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2122,Sheep,2020,2020,Head,3167,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5608,Import Quantity,2122,Sheep,2021,2021,Head,10521,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2122,Sheep,2006,2006,1000 US$,892,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2122,Sheep,2007,2007,1000 US$,1011,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2122,Sheep,2008,2008,1000 US$,398,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2122,Sheep,2009,2009,1000 US$,598,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2122,Sheep,2010,2010,1000 US$,414,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2122,Sheep,2011,2011,1000 US$,162,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2122,Sheep,2012,2012,1000 US$,31,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2122,Sheep,2013,2013,1000 US$,174,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2122,Sheep,2014,2014,1000 US$,17,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2122,Sheep,2015,2015,1000 US$,70,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2122,Sheep,2016,2016,1000 US$,10,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2122,Sheep,2017,2017,1000 US$,20,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2122,Sheep,2018,2018,1000 US$,20,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2122,Sheep,2019,2019,1000 US$,224,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2122,Sheep,2020,2020,1000 US$,197,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2122,Sheep,2021,2021,1000 US$,1348,A,Official figure,AT
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2111,Cattle,2006,2006,Head,118056,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2111,Cattle,2007,2007,Head,109569,A,Official figure,BE
