,Unnamed: 0,Domain,Area,Element,Item,Year,Unit,Value,Flag Description,Country Code
156,754,Crops and livestock products,Ireland,Import Quantity,Cattle,2006,Head,372,Official figure,IE
157,755,Crops and livestock products,Ireland,Import Quantity,Cattle,2007,Head,767,Official figure,IE
158,756,Crops and livestock products,Ireland,Import Quantity,Cattle,2008,Head,90,Official figure,IE
159,757,Crops and livestock products,Ireland,Import Quantity,Cattle,2009,Head,38,Unofficial figure,IE
160,758,Crops and livestock products,Ireland,Import Quantity,Cattle,2010,Head,98,Official figure,IE
161,759,Crops and livestock products,Ireland,Import Quantity,Cattle,2011,Head,1017,Unofficial figure,IE
162,760,Crops and livestock products,Ireland,Import Quantity,Cattle,2012,Head,4055,Unofficial figure,IE
163,761,Crops and livestock products,Ireland,Import Quantity,Cattle,2013,Head,2791,Official figure,IE
164,762,Crops and livestock products,Ireland,Import Quantity,Cattle,2014,Head,2174,Official figure,IE
165,763,Crops and livestock products,Ireland,Import Quantity,Cattle,2015,Head,8338,Official figure,IE
166,764,Crops and livestock products,Ireland,Import Quantity,Cattle,2016,Head,6494,Official figure,IE
167,765,Crops and livestock products,Ireland,Import Quantity,Cattle,2017,Head,5862,Official figure,IE
168,766,Crops and livestock products,Ireland,Import Quantity,Cattle,2018,Head,7811,Official figure,IE
169,767,Crops and livestock products,Ireland,Import Quantity,Cattle,2019,Head,16376,Imputed value,IE
170,768,Crops and livestock products,Ireland,Import Quantity,Cattle,2020,Head,13907,Official figure,IE
171,769,Crops and livestock products,Ireland,Import Quantity,Cattle,2021,Head,23056,Official figure,IE
172,770,Crops and livestock products,Ireland,Import Value,Cattle,2006,1000 US$,582,Official figure,IE
173,771,Crops and livestock products,Ireland,Import Value,Cattle,2007,1000 US$,1409,Official figure,IE
174,772,Crops and livestock products,Ireland,Import Value,Cattle,2008,1000 US$,321,Official figure,IE
175,773,Crops and livestock products,Ireland,Import Value,Cattle,2009,1000 US$,226,Official figure,IE
176,774,Crops and livestock products,Ireland,Import Value,Cattle,2010,1000 US$,442,Official figure,IE
177,775,Crops and livestock products,Ireland,Import Value,Cattle,2011,1000 US$,1259,Official figure,IE
178,776,Crops and livestock products,Ireland,Import Value,Cattle,2012,1000 US$,5183,Official figure,IE
179,777,Crops and livestock products,Ireland,Import Value,Cattle,2013,1000 US$,2721,Official figure,IE
180,778,Crops and livestock products,Ireland,Import Value,Cattle,2014,1000 US$,226,Official figure,IE
181,779,Crops and livestock products,Ireland,Import Value,Cattle,2015,1000 US$,1021,Official figure,IE
182,780,Crops and livestock products,Ireland,Import Value,Cattle,2016,1000 US$,787,Official figure,IE
183,781,Crops and livestock products,Ireland,Import Value,Cattle,2017,1000 US$,927,Official figure,IE
184,782,Crops and livestock products,Ireland,Import Value,Cattle,2018,1000 US$,1750,Official figure,IE
185,783,Crops and livestock products,Ireland,Import Value,Cattle,2019,1000 US$,4073,Official figure,IE
186,784,Crops and livestock products,Ireland,Import Value,Cattle,2020,1000 US$,11952,Official figure,IE
187,785,Crops and livestock products,Ireland,Import Value,Cattle,2021,1000 US$,5883,Official figure,IE
188,786,Crops and livestock products,Ireland,Import Quantity,Sheep,2006,Head,16212,Official figure,IE
189,787,Crops and livestock products,Ireland,Import Quantity,Sheep,2007,Head,23707,Official figure,IE
190,788,Crops and livestock products,Ireland,Import Quantity,Sheep,2008,Head,43554,Official figure,IE
191,789,Crops and livestock products,Ireland,Import Quantity,Sheep,2009,Head,28964,Official figure,IE
192,790,Crops and livestock products,Ireland,Import Quantity,Sheep,2010,Head,31006,Official figure,IE
193,791,Crops and livestock products,Ireland,Import Quantity,Sheep,2011,Head,18372,Official figure,IE
194,792,Crops and livestock products,Ireland,Import Quantity,Sheep,2012,Head,222913,Official figure,IE
195,793,Crops and livestock products,Ireland,Import Quantity,Sheep,2013,Head,71284,Official figure,IE
196,794,Crops and livestock products,Ireland,Import Quantity,Sheep,2014,Head,18758,Official figure,IE
197,795,Crops and livestock products,Ireland,Import Quantity,Sheep,2015,Head,12157,Official figure,IE
198,796,Crops and livestock products,Ireland,Import Quantity,Sheep,2016,Head,19543,Official figure,IE
199,797,Crops and livestock products,Ireland,Import Quantity,Sheep,2017,Head,17889,Official figure,IE
200,798,Crops and livestock products,Ireland,Import Quantity,Sheep,2018,Head,19232,Official figure,IE
201,799,Crops and livestock products,Ireland,Import Quantity,Sheep,2019,Head,16831,Official figure,IE
202,800,Crops and livestock products,Ireland,Import Quantity,Sheep,2020,Head,363075,Official figure,IE
203,801,Crops and livestock products,Ireland,Import Quantity,Sheep,2021,Head,317112,Official figure,IE
204,802,Crops and livestock products,Ireland,Import Value,Sheep,2006,1000 US$,2943,Official figure,IE
205,803,Crops and livestock products,Ireland,Import Value,Sheep,2007,1000 US$,2496,Official figure,IE
206,804,Crops and livestock products,Ireland,Import Value,Sheep,2008,1000 US$,5990,Official figure,IE
207,805,Crops and livestock products,Ireland,Import Value,Sheep,2009,1000 US$,3099,Official figure,IE
208,806,Crops and livestock products,Ireland,Import Value,Sheep,2010,1000 US$,3910,Official figure,IE
209,807,Crops and livestock products,Ireland,Import Value,Sheep,2011,1000 US$,2707,Official figure,IE
210,808,Crops and livestock products,Ireland,Import Value,Sheep,2012,1000 US$,17554,Official figure,IE
211,809,Crops and livestock products,Ireland,Import Value,Sheep,2013,1000 US$,14171,Official figure,IE
212,810,Crops and livestock products,Ireland,Import Value,Sheep,2014,1000 US$,2136,Official figure,IE
213,811,Crops and livestock products,Ireland,Import Value,Sheep,2015,1000 US$,1185,Official figure,IE
