,Domain,Area,Element,Item,Year,Unit,Value,Flag Description,Country Code
192,Crops and livestock products,Croatia,Import Quantity,Cattle,2006,Head,162288,Official figure,HR
193,Crops and livestock products,Croatia,Import Quantity,Cattle,2007,Head,144750,Official figure,HR
194,Crops and livestock products,Croatia,Import Quantity,Cattle,2008,Head,155515,Official figure,HR
195,Crops and livestock products,Croatia,Import Quantity,Cattle,2009,Head,138672,Official figure,HR
196,Crops and livestock products,Croatia,Import Quantity,Cattle,2010,Head,140123,Official figure,HR
197,Crops and livestock products,Croatia,Import Quantity,Cattle,2011,Head,151900,Official figure,HR
198,Crops and livestock products,Croatia,Import Quantity,Cattle,2012,Head,120056,Official figure,HR
199,Crops and livestock products,Croatia,Import Quantity,Cattle,2013,Head,212807,Official figure,HR
200,Crops and livestock products,Croatia,Import Quantity,Cattle,2014,Head,94097,Official figure,HR
201,Crops and livestock products,Croatia,Import Quantity,Cattle,2015,Head,116969,Official figure,HR
202,Crops and livestock products,Croatia,Import Quantity,Cattle,2016,Head,115823,Official figure,HR
203,Crops and livestock products,Croatia,Import Quantity,Cattle,2017,Head,137463,Official figure,HR
204,Crops and livestock products,Croatia,Import Quantity,Cattle,2018,Head,133371,Official figure,HR
205,Crops and livestock products,Croatia,Import Quantity,Cattle,2019,Head,147348,Official figure,HR
206,Crops and livestock products,Croatia,Import Quantity,Cattle,2020,Head,141667,Official figure,HR
207,Crops and livestock products,Croatia,Import Quantity,Cattle,2021,Head,168185,Official figure,HR
208,Crops and livestock products,Croatia,Import Value,Cattle,2006,1000 US$,88126,Official figure,HR
209,Crops and livestock products,Croatia,Import Value,Cattle,2007,1000 US$,86958,Official figure,HR
210,Crops and livestock products,Croatia,Import Value,Cattle,2008,1000 US$,106619,Official figure,HR
211,Crops and livestock products,Croatia,Import Value,Cattle,2009,1000 US$,89080,Official figure,HR
212,Crops and livestock products,Croatia,Import Value,Cattle,2010,1000 US$,87283,Official figure,HR
213,Crops and livestock products,Croatia,Import Value,Cattle,2011,1000 US$,113567,Official figure,HR
214,Crops and livestock products,Croatia,Import Value,Cattle,2012,1000 US$,80904,Official figure,HR
215,Crops and livestock products,Croatia,Import Value,Cattle,2013,1000 US$,66595,Official figure,HR
216,Crops and livestock products,Croatia,Import Value,Cattle,2014,1000 US$,70075,Official figure,HR
217,Crops and livestock products,Croatia,Import Value,Cattle,2015,1000 US$,67498,Official figure,HR
218,Crops and livestock products,Croatia,Import Value,Cattle,2016,1000 US$,64629,Official figure,HR
219,Crops and livestock products,Croatia,Import Value,Cattle,2017,1000 US$,84105,Official figure,HR
220,Crops and livestock products,Croatia,Import Value,Cattle,2018,1000 US$,88033,Official figure,HR
221,Crops and livestock products,Croatia,Import Value,Cattle,2019,1000 US$,92644,Official figure,HR
222,Crops and livestock products,Croatia,Import Value,Cattle,2020,1000 US$,90057,Official figure,HR
223,Crops and livestock products,Croatia,Import Value,Cattle,2021,1000 US$,116287,Official figure,HR
224,Crops and livestock products,Croatia,Import Quantity,Sheep,2006,Head,51858,Official figure,HR
225,Crops and livestock products,Croatia,Import Quantity,Sheep,2007,Head,92639,Official figure,HR
226,Crops and livestock products,Croatia,Import Quantity,Sheep,2008,Head,93687,Official figure,HR
227,Crops and livestock products,Croatia,Import Quantity,Sheep,2009,Head,76480,Official figure,HR
